lga,policyName,policyURL,pdf_path,lga_id,policy_id,num_page
Kingborough,Key-Climate-Change-Initiatives-2022-23,https://www.kingborough.tas.gov.au/wp-content/uploads/2022/07/Key-Climate-Change-Initiatives-2022-23.pdf,lga_KingboroughCouncil_20230929_Key-Climate-Change-Initiatives-2022-23.pdf,LGA63610,LGA63610_3,1
Kingborough,Policy-6.9-Coastal-Hazards-v1,https://www.kingborough.tas.gov.au/wp-content/uploads/2023/09/Policy-6.9-Coastal-Hazards-v1.pdf,lga_KingboroughCouncil_20230929_Policy-6.9-Coastal-Hazards-v1.pdf,LGA63610,LGA63610_4,5
Kingston,climate-and-ecological-emergency-response-plan,https://www.kingston.vic.gov.au/files/sharedassets/public/hptrim/environmental-management-climate-change-climate-and-ecological-emergency/climate-and-ecological-emergency-response-plan.pdf,lga_CityofKingston_20230929_climate-and-ecological-emergency-response-plan.pdf,LGA43360,LGA43360_1,33
Kingston,kingston’s-integrated-water-strategy-nov-2022,https://www.kingston.vic.gov.au/files/sharedassets/public/hptrim/environmental-management-water-and-stormwater-management-integrated-water-strategy-2022/kingston%E2%80%99s-integrated-water-strategy-nov-2022.pdf,lga_CityofKingston_20230929_kingston’s-integrated-water-strategy-nov-2022.pdf,LGA43360,LGA43360_2,25
Kingston,kingstons-coastal-and-marine-management-plan-2023-v2,https://www.kingston.vic.gov.au/files/sharedassets/public/hptrim/coastal-and-marine-management-plan-2021/kingstons-coastal-and-marine-management-plan_2023_v2.pdf,lga_CityofKingston_20230929_kingstons-coastal-and-marine-management-plan-2023-v2.pdf,LGA43360,LGA43360_3,74
Kingston,urban-cooling-strategy-final,https://www.kingston.vic.gov.au/files/sharedassets/public/hptrim/environmental-management-climate-change-urban-cooling-strategy-2020/urban-cooling-strategy-final.pdf,lga_CityofKingston_20230929_urban-cooling-strategy-final.pdf,LGA43360,LGA43360_4,21
Kingston,public-health-and-wellbeing-plan-2021-2025,https://www.kingston.vic.gov.au/files/sharedassets/public/hptrim/social-development-community-wellbeing-public-health-and-wellbeing/public-health-and-wellbeing-plan-2021-2025-web-final.pdf,lga_CityofKingston_20230929_public-health-and-wellbeing-plan-2021-2025.pdf,LGA43360,LGA43360_5,44
Kingston,walking-and-cycling-plan,https://www.kingston.vic.gov.au/files/sharedassets/public/hptrim/walking-and-cycling-plan/draft-walking-and-cycling-plan_feb23.pdf,lga_CityofKingston_20230929_walking-and-cycling-plan.pdf,LGA43360,LGA43360_6,108
Kingston,kingston-procurement-policy-local-government-act-2020-effective-31-december-2021,https://www.kingston.vic.gov.au/files/sharedassets/public/hptrim/administrative-services-contracts-procurement-forms-templates/kingston-procurement-policy-local-government-act-2020-effective-31-december-2021.pdf,lga_CityofKingston_20230929_kingston-procurement-policy-local-government-act-2020-effective-31-december-2021.pdf,LGA43360,LGA43360_7,35
Latrobe,LCC-Position-on-Climate-Change,https://www.latrobe.vic.gov.au/sites/default/files/2020-03/LCC%20Position%20on%20Climate%20Change.pdf,lga_LatrobeCityCouncil_20230929_LCC-Position-on-Climate-Change.pdf,LGA23810,LGA23810_1,1
Latrobe,Positioning-Latrobe-City-for-a-Low-Carbon-Emissions-Future-Policy,https://www.latrobe.vic.gov.au/sites/default/files/Positioning_Latrobe_City_for_a_Low_Carbon_Emissions_Future_Policy.pdf,lga_LatrobeCityCouncil_20230929_Positioning-Latrobe-City-for-a-Low-Carbon-Emissions-Future-Policy.pdf,LGA23810,LGA23810_2,21
Latrobe,Natural-Environment-Sustainability-Strategy-2014-2019,https://www.latrobe.vic.gov.au/sites/default/files/Natural_Environment_Sustainability_Strategy_2014-2019_ADOPTED.pdf,lga_LatrobeCityCouncil_20230929_Natural-Environment-Sustainability-Strategy-2014-2019.pdf,LGA23810,LGA23810_3,33
Launceston,Launceston-Climate-Profile-Climate-Change-Information-for-Decision-Making,https://www.launceston.tas.gov.au/files/assets/public/v/1/waste-and-environment/launceston-climate-profile-climate-change-information-for-decision-making.pdf,lga_CityofLaunceston_20230929_Launceston-Climate-Profile-Climate-Change-Information-for-Decision-Making.pdf,LGA64010,LGA64010_1,6
Launceston,Climate-Summary-2022,https://www.launceston.tas.gov.au/files/assets/public/waste-and-environment/climate-summary-2022.pdf,lga_CityofLaunceston_20230929_Climate-Summary-2022.pdf,LGA64010,LGA64010_2,13
Launceston,Towards-Zero-Emissions,https://aus01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.launceston.tas.gov.au%2Ffiles%2Fassets%2Fpublic%2Fwaste-and-environment%2Ftowards-zero-emissions.pdf&data=05%7C01%7CKeshwa.Naidu%40launceston.tas.gov.au%7Cf99db09f80654c475aa308dab88e59c2%7C7efea6fc38b1413a9783340391fac921%7C0%7C0%7C638025218773117438%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=0bToEl9QxltXUeO0yzpfrgqS%2F5hzXWokhw6bPDtW6kc%3D&reserved=0,lga_CityofLaunceston_20230929_Towards-Zero-Emissions.pdf,LGA64010,LGA64010_3,32
